Row Labels,A0,A1,A2,,B0,B1,,C_previous1,C_previous2,C_previous3,C_previous4,C_previousNA,,C1,C2,C3,C4,,D1,D2,D3,,E0,E1,,F0,F1,F2,F3,,G1,G2,G3,G4,(blank),Grand Total,,,,,,Row Labels,A0,A1,A2,,B0,B1,,C_previous1,C_previous2,C_previous3,C_previous4,C_previousNA,,C1,C2,C3,C4,,D1,D2,D3,,E0,E1,,F0,F1,F2,F3,,G1,G2,G3,G4
,0%,0%,1%,,0%,1%,,0,0,0.010818779,0,0,,-0.005388547,0.00173592,0.009452119,0.005019287,,-0.010646383,-0.005474492,0.026939654,,-0.00275562,0.013574399,,0.002932177,0.00754986,-0.002016124,0.002352865,,-0.002659189,0.00098898,0.017352232,-0.004863244,,,,,,,,,,,,0.993949688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,1%,,0%,0%,,0,0,0,0.00584476,0,,-0.002767198,0.000402181,-0.003595312,0.011805089,,-0.003628353,-0.001556099,0.011029212,,-0.000256169,0.006100929,,0.001038402,0.004061411,-0.000447846,0.001192793,,-0.001456601,-8.27098E-05,0.006800638,0.000583432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1%,-1%,0%,,-2%,-1%,,0,0,0,0,-0.022839022,,-0.010971175,-0.004029567,-0.006698445,-0.001139834,,-0.009347999,-0.005261675,-0.008229348,,-0.016450031,-0.00638899,,-0.010138468,-0.00400526,-0.007648008,-0.001047287,,-0.001722917,-0.017522643,-0.00212981,-0.001463652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1%,-1%,1%,,-2%,1%,,1%,0%,-1%,0%,-1%,,-0.007254996,0,0,0,,-0.029398558,0.006348378,0.015795184,,-0.012237483,0.004982487,,-0.008823191,0.002887378,-0.005263712,0.003944529,,0.001815962,-0.003440848,0.008063952,-0.013694062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1%,0%,1%,,0%,1%,,0%,1%,0%,0%,0%,,0,0.011225985,0,0,,-0.003733579,-0.000537536,0.015497101,,0.003635493,0.007590493,,0.004678376,0.004175511,0.000724022,0.001648077,,0.001748609,0.00390052,0.008220504,-0.002643647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,-3%,1%,,-1%,-1%,,-1%,-1%,1%,0%,-1%,,0,0,-0.019836511,0,,-0.001719231,-0.007362439,-0.010754841,,-0.015678147,-0.004158365,,-0.004126183,-0.001887716,-0.014665048,0.000842435,,-0.009838816,-0.013905883,0.009080208,-0.00517202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,1%,0%,,1%,1%,,0%,0%,1%,1%,0%,,0,0,0,0.015865522,,-0.000402982,-0.00046805,0.016736554,,0.003893411,0.011972111,,0.00453595,0.004871341,0.005524893,0.000933339,,0.000939211,0.002587145,0.008678651,0.003660515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-2%,-2%,0%,,-3%,0%,,-1%,-1%,-1%,0%,-1%,,-3%,0%,0%,0%,,-0.03525435,0,0,,-0.031633775,-0.003620575,,-0.022722428,-0.002239381,-0.010980616,0.000688074,,-0.004909174,-0.013906985,-0.001709652,-0.014728539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1%,-1%,0%,,-1%,0%,,1%,0%,-1%,0%,-1%,,1%,0%,-1%,0%,,0,-0.002019647,0,,-0.001123889,-0.000895758,,0.001891214,-0.000780122,-0.004601333,0.001470595,,0.001095697,1.70521E-05,0.002693279,-0.005825674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2%,0%,2%,,1%,2%,,0%,1%,3%,1%,-1%,,2%,2%,-1%,2%,,0,0,0.037273997,,0.012370939,0.024903058,,0.017096166,0.013066017,0.001902104,0.00520971,,-0.001521557,0.003030868,0.033059687,0.002704999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,-3%,1%,,-4%,2%,,0%,0%,0%,0%,-2%,,-1%,0%,-2%,0%,,-3%,0%,1%,,-0.020386726,0,,-0.005373136,0.001537576,-0.020962944,0.004411778,,-0.007921191,-0.006029086,0.013324465,-0.019760914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,2%,,2%,0%,,0%,0%,1%,1%,-1%,,0%,1%,0%,1%,,0%,0%,2%,,0,0.020386726,,0.001638087,0.008508939,0.007283099,0.002956602,,0.002586157,-0.00482998,0.02071885,0.001911699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,,-2%,1%,,0%,0%,0%,0%,-1%,,-1%,0%,0%,0%,,-2%,0%,2%,,-1%,0%,,-0.003735049,0,0,0,,0.002515669,0.001045387,0.010240317,-0.017536422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,1%,,1%,0%,,0%,0%,1%,0%,0%,,0%,0%,0%,0%,,0%,0%,1%,,0%,1%,,0,0.010046514,0,0,,-0.00230644,-0.003534766,0.014078238,0.001809482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,-3%,1%,,-2%,0%,,0%,0%,0%,0%,-1%,,-1%,0%,-1%,1%,,-1%,0%,0%,,-2%,1%,,0,0,-0.013679845,0,,-0.00834012,-0.011317267,0.00756082,-0.001583278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,1%,,0%,0%,,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,0%,0%,1%,,0%,0%,,0,0,0,0.007368379,,0.002795858,0.00294758,0.002163939,-0.000538997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,-1%,1%,,-1%,1%,,0%,0%,0%,0%,0%,,0%,0%,-1%,0%,,0%,0%,0%,,-1%,0%,,0%,0%,-1%,0%,,-0.005335034,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1%,-2%,0%,,-1%,0%,,0%,0%,0%,0%,-2%,,0%,0%,-1%,0%,,-1%,0%,0%,,-1%,0%,,0%,0%,-1%,0%,,0,-0.010859066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1%,1%,2%,,2%,2%,,1%,1%,2%,1%,0%,,1%,1%,1%,1%,,0%,0%,3%,,1%,2%,,1%,1%,1%,0%,,0,0,0.034043314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-2%,0%,0%,,-2%,0%,,-1%,0%,0%,0%,0%,,-1%,0%,-1%,0%,,-1%,-1%,0%,,-2%,0%,,-2%,0%,0%,0%,,0,0,0,-0.017849215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
